iter	Logloss
0	0.6928857513
1	0.6925243591
2	0.6922219696
3	0.691957724
4	0.691708609
5	0.6914677765
6	0.6911960876
7	0.6908771332
8	0.6905864655
9	0.6902599976
10	0.6899808563
11	0.6897378662
12	0.6894978516
13	0.6892314606
14	0.6890028503
15	0.6887559448
16	0.6884985291
17	0.6881993134
18	0.6879168549
19	0.6877132599
20	0.6874364258
21	0.6871858368
22	0.6869565125
23	0.6866829163
24	0.6864482361
25	0.6862368408
26	0.6860198029
27	0.6857672028
28	0.6855201385
29	0.6853418518
30	0.6851786865
31	0.6849206146
32	0.684735788
33	0.6845606415
34	0.6843286865
35	0.6841151215
36	0.6839323914
37	0.6837638641
38	0.6835946198
39	0.6833420532
40	0.6831501587
41	0.6829980804
42	0.6827808594
43	0.6826177124
44	0.6824050964
45	0.6821771149
46	0.6819750153
47	0.6817532501
48	0.6815290253
49	0.6813283234
50	0.6810707703
51	0.6808937592
52	0.680715094
53	0.6805697083
54	0.680328009
55	0.6801544281
56	0.6799768799
57	0.6797721405
58	0.6796168457
59	0.679424292
60	0.6792249451
61	0.6790227692
62	0.6788692719
63	0.678723288
64	0.6785196198
65	0.6783621216
66	0.6782329376
67	0.6780431885
68	0.6779121887
69	0.6777981873
70	0.6776237122
71	0.6774810333
72	0.677357309
73	0.6771501434
74	0.6769663177
75	0.6768276306
76	0.6766643219
77	0.6764841614
78	0.6763378662
79	0.6761810303
80	0.6760645874
81	0.6758853577
82	0.6757033905
83	0.6755438232
84	0.6754200714
85	0.6752442352
86	0.6750796143
87	0.6749618591
88	0.674849469
89	0.6747019836
90	0.6745343903
91	0.6743852997
92	0.6742301056
93	0.6740806854
94	0.6739791321
95	0.6738465698
96	0.6737226288
97	0.6735391479
98	0.6733750854
99	0.6732522705
100	0.6731583252
101	0.6730325928
102	0.6728728058
103	0.6727286377
104	0.6725790436
105	0.6724236023
106	0.6723312897
107	0.6721667877
108	0.6719605591
109	0.6718431793
110	0.6716990875
111	0.6715681152
112	0.6714743561
113	0.6713547455
114	0.6712715851
115	0.67115242
116	0.6710121643
117	0.6708901123
118	0.6707819489
119	0.670681366
120	0.6705475555
121	0.6704185089
122	0.6703143097
123	0.6701901428
124	0.6700674011
125	0.6699726471
126	0.6697834961
127	0.6696754547
128	0.6695689575
129	0.6694761902
130	0.6693715332
131	0.6692753418
132	0.6691805695
133	0.6690667755
134	0.6689637115
135	0.6688391998
136	0.6687424866
137	0.6686233093
138	0.6685128174
139	0.6684061951
140	0.6682761292
141	0.6681316559
142	0.6680176208
143	0.6678794281
144	0.6677870636
145	0.6676876221
146	0.6675895447
147	0.6674635742
148	0.6673807648
149	0.6672875793
150	0.667202832
151	0.6670908783
152	0.6670338531
153	0.6669237183
154	0.6668132141
155	0.6667185883
156	0.66658591
157	0.6664717255
158	0.666344809
159	0.6662562408
160	0.6661610199
161	0.6660519684
162	0.6659533691
163	0.6658755859
164	0.6657633484
165	0.6656465942
166	0.6655319153
167	0.6654282806
168	0.6652924591
169	0.6652206818
170	0.6651204559
171	0.66504375
172	0.6649311981
173	0.664815921
174	0.6647130402
175	0.6645951447
176	0.6645300598
177	0.6644275208
178	0.664284317
179	0.6642112854
180	0.664114856
181	0.6640352173
182	0.663913205
183	0.6638199554
184	0.6637041473
185	0.663604837
186	0.6635208252
187	0.6634441925
188	0.6633378784
189	0.663259787
190	0.6631562286
191	0.6630640259
192	0.6629383026
193	0.6628422211
194	0.6627470734
195	0.6626911041
196	0.6626042236
197	0.6625000336
198	0.6623882294
199	0.6622988312
